Spanish,English
parte,part
historia,history
buscar,search
solo,only
policía,police
pensé,thought
ayuda,help
solicitud,request
tipo,kind
mes,month
hermano,brother
dejar,let
porque,because
poner,to put
ninguno,no
correa,leash
ellos,them
ciudad,city
cada,each
hablar,speak
llegado,come
debería,should
bebé,baby
mucho tiempo,long time
horas,hours
irá,will
mientras,while
reunir,meet again
ninguna,any
plaza,square
hablar,speak
entendido,understood
sabía,knew
estaban,were
advertencia,warning
aquí,here is
podría,could
caso,case
dar,give
tipo,type
sus,their
dado,given
tren,train
cuerpo,body
lugar,place
ojos,eyes
manera,way
escuchar,listen
cuyo,whose
encontrar,find
primer,first
perdido,lost
mano,hand
primera,first
lado,side
poder,power
viejo,old
sé,be
aquí está,here is
mañana,morning
mucho,so much
niño,child
punto,point
venido,came
después,after
perdón,sorry
ven,come
delante,in front of
hacia,towards
minutos,minutes
pedido,request
habitación,bedroom
colocado,placed
hermosa,beautiful
derecho,law
me gustaría,would like to
hoy,today
esposo,husband
causa,cause
finalmente,finally
espero,hope
agua,water
espera,wait
partido,left
nuevo,new
trabajo,job
parar,stop
diría,would say
tierra,Earth
cuenta,account
dado,given
lejos,far
final,end
creer,believe
cariño,sweetheart
grande,large
preferiblemente,rather
tendrá,will have
chicas,girls
jugar,to play
oficina,office
